Game Name;Release Name;Package Name;Version Code;Last Updated;Size (MB)
1976 Back to Midway;1976 Back to Midway v12+1.2 -VRP;com.IvanovichGames.game1976;12;2021-09-24 13:43 UTC;773
2MD - VR Football Unleashed;2MD - VR Football Unleashed v114+1.42 -FFA;com.truantpixel.twomdquest;114;2021-11-28 16:59 UTC;1681
51 Aliens TV;51 Aliens TV v4+0.4 -QU;com.fiftyonealiens.fiftyonealienstvquest;4;2021-06-02 20:23 UTC;313
A Fisherman's Tale;A Fisherman's Tale v16+1.064 -QU;com.innerspacevr.afishermanstale;16;2021-06-02 20:22 UTC;2187
A Lullaby of Colors;A Lullaby of Colors v1+1.2.2 -unknown;com.idumpling.a_lullaby_of_colors;1;2021-06-10 22:40 UTC;149
A Rogue Escape;A Rogue Escape v104+1.0 -FFA;com.armorgames.nauticrawlVR;104;2021-11-06 01:48 UTC;1136
A Township Tale;A Township Tale v552+quest-0.0.2.3 -FFA;com.Alta.ATownshipTale;552;2021-12-21 02:04 UTC;653
A102;A102 v54+1.0.4 -FFA;red.chesco.a102;54;2021-10-16 04:03 UTC;1143
AFFECTED - The Manor - Complete Edition;AFFECTED - The Manor - Complete Edition v85+1.3 -FFA;com.fallen.manorquest;85;2021-10-29 14:22 UTC;1277
ALTDEUS - Beyond Chronos;ALTDEUS - Beyond Chronos v477+1.1.477 -QU;com.MyDearest.Altdeus;477;2021-07-08 15:05 UTC;2044
AUDICA;AUDICA v128543601+1.0.3.2 -QU (with DLC);com.harmonixmusic.kata;128543601;2021-06-02 20:22 UTC;657
Accounting+;Accounting+ v35+1.24.35 -QU;com.crowscrowscrows.AccountingPlus;35;2021-11-09 14:04 UTC;812
Acron - Attack of the Squirrels!;Acron - Attack of the Squirrels! v114094392+1.14.94392 -QU;com.resolutiongames.codenamelazarus;114094392;2021-06-02 20:23 UTC;162
Active Shooter Survival;Active Shooter Survival v9+21.5.24 -QU;com.incitevr.activeshooter;9;2021-06-23 10:03 UTC;517
Air Brigade 2;Air Brigade 2 v20+0.2 -unknown;com.OnlyHuman.AirBrigade2vr;20;2021-06-02 20:23 UTC;395
Air Brigade;Air Brigade v192+1.92 -VRP;com.OnlyHumanStudios.AirBrigadeVR;192;2021-09-19 14:58 UTC;1133
Alien Squatters;Alien Squatters v4+0.2 -FFA;com.ReedGaming.AlienSquatters;4;2021-10-16 03:58 UTC;237
Alienation;Alienation v23+1.293 -QU;com.fiftyonealiens.alienationgame;23;2021-05-31 21:05 UTC;240
