"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"冷库监管系统项目";"2021-05-05 09:00";"2021-05-27 12:00";"done";"100%";"";""
1.1;"  评审";"2021-05-05 09:00";"2021-05-05 18:00";"done";"100%";"";""
"1.1.1";"    组织会议 [0/21]";"2021-05-05 09:00";"2021-05-05 10:00";"done";"100%";"任美全 (master)";""
"1.1.2";"    需求评审";"2021-05-05 10:00";"2021-05-05 13:00";"done";"100%";"任美全 (master), 杨静 (h5), 柴志勇 (iOS1), 余朝阳 (iOS2), 代雪峰 (android1), 朱龙江 (android2), 史中华 (Server), 李萌萌 (test1), 张宇航 (test2), 程艳娜 (UI1), 麻梓鑫 (UI2)";""
"1.1.3";"    用例评审";"2021-05-05 13:00";"2021-05-05 16:00";"done";"100%";"任美全 (master), 杨静 (h5), 柴志勇 (iOS1), 余朝阳 (iOS2), 代雪峰 (android1), 朱龙江 (android2), 史中华 (Server), 李萌萌 (test1), 张宇航 (test2)";""
"1.1.4";"    设计评审";"2021-05-05 16:00";"2021-05-05 18:00";"done";"100%";"杨静 (h5), 柴志勇 (iOS1), 余朝阳 (iOS2), 代雪峰 (android1), 朱龙江 (android2), 史中华 (Server)";""
1.2;"  愿景宣言：心灵演练";"2021-05-06 09:00";"2021-05-06 11:00";"done";"100%";"";""
"1.2.1";"    心灵演练";"2021-05-06 09:00";"2021-05-06 10:00";"done";"100%";"任美全 (master)";""
"1.2.2";"    使命宣言";"2021-05-06 10:00";"2021-05-06 11:00";"done";"100%";"任美全 (master)";""
1.3;"  里程碑：要事第一";"2021-05-06 11:00";"2021-05-27 12:00";"done";"100%";"";""
"1.3.1";"    启动会议";"2021-05-06 11:00";"2021-05-06 12:00";"done";"100%";"任美全 (master), 杨静 (h5), 柴志勇 (iOS1), 余朝阳 (iOS2), 代雪峰 (android1), 朱龙江 (android2), 史中华 (Server), 李萌萌 (test1), 张宇航 (test2)";""
"1.3.2";"    开发结束";"2021-05-14 10:20";"2021-05-14 10:20";"done";"100%";"";""
"1.3.3";"    提测发布";"2021-05-27 11:00";"2021-05-27 11:00";"done";"100%";"";""
"1.3.4";"    项目回顾";"2021-05-27 12:00";"2021-05-27 12:00";"done";"100%";"";""
1.4;"  智慧通知";"2021-05-06 13:00";"2021-05-14 10:20";"done";"100%";"";""
"1.4.1";"    开发设计";"2021-05-06 13:00";"2021-05-06 14:00";"done";"100%";"柴志勇 (iOS1), 余朝阳 (iOS2)";""
"1.4.2";"    技术调研";"2021-05-06 14:00";"2021-05-06 15:20";"done";"100%";"杨静 (h5), 柴志勇 (iOS1), 余朝阳 (iOS2), 代雪峰 (android1), 朱龙江 (android2), 史中华 (Server)";""
"1.4.3";"    新建通知 [6/6]";"2021-05-06 15:20";"2021-05-07 15:20";"done";"100%";"柴志勇 (iOS1), 余朝阳 (iOS2)";""
"1.4.4";"    通知人员管理 [3/3]";"2021-05-07 15:20";"2021-05-11 15:20";"done";"100%";"";""
"1.4.4.1";"      门店列表(支持分页)";"2021-05-07 15:20";"2021-05-08 15:20";"done";"100%";"柴志勇 (iOS1), 余朝阳 (iOS2)";""
"1.4.4.2";"      人员列表(支持分页)";"2021-05-08 15:20";"2021-05-10 15:20";"done";"100%";"柴志勇 (iOS1), 余朝阳 (iOS2)";""
