"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"一张图活动swift版";"2022-04-22 09:00";"2022-05-03 15:00";"done";"100%";"";""
1.1;"  评审";"2022-04-22 09:00";"2022-04-22 18:00";"done";"100%";"";""
"1.1.1";"    组织会议";"2022-04-22 09:00";"2022-04-22 10:00";"done";"100%";"管理 (master)";""
"1.1.2";"    需求评审";"2022-04-22 10:00";"2022-04-22 13:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester), UI (ui)";""
"1.1.3";"    用例评审";"2022-04-22 13:00";"2022-04-22 16:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.1.4";"    设计评审";"2022-04-22 16:00";"2022-04-22 18:00";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
1.2;"  愿景宣言：心灵演练";"2022-04-23 09:00";"2022-04-23 11:00";"done";"100%";"";""
"1.2.1";"    心灵演练";"2022-04-23 09:00";"2022-04-23 10:00";"done";"100%";"管理 (master)";""
"1.2.2";"    使命宣言";"2022-04-23 10:00";"2022-04-23 11:00";"done";"100%";"管理 (master)";""
1.3;"  里程碑：要事第一";"2022-04-23 11:00";"2022-05-03 15:00";"done";"100%";"";""
"1.3.1";"    启动会议";"2022-04-23 11:00";"2022-04-23 12:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.3.2";"    开发结束";"2022-05-03 14:00";"2022-05-03 14:00";"done";"100%";"";""
"1.3.3";"    提测发布";"2022-05-03 14:00";"2022-05-03 14:00";"done";"100%";"";""
"1.3.4";"    项目回顾";"2022-05-03 15:00";"2022-05-03 15:00";"done";"100%";"";""
1.4;"  原生开发 [0/7]";"2022-04-23 13:00";"2022-05-03 14:00";"done";"100%";"";""
"1.4.1";"    开发设计";"2022-04-23 13:00";"2022-04-23 15:00";"done";"100%";"iOS (dev)";""
"1.4.2";"    技术调研";"2022-04-23 15:00";"2022-04-23 17:00";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.3";"    我发布的活动 [0/4]";"2022-04-23 17:00";"2022-04-26 17:00";"done";"100%";"iOS (dev)";""
"1.4.4";"    活动广场 [0/3]";"2022-04-26 17:00";"2022-04-27 17:00";"done";"100%";"iOS (dev)";""
"1.4.5";"    发布活动 [0/4]";"2022-04-27 17:00";"2022-04-29 17:00";"done";"100%";"iOS (dev)";""
"1.4.6";"    活页 [0/3]";"2022-04-29 17:00";"2022-04-30 17:00";"done";"100%";"iOS (dev)";""
"1.4.7";"    活动视频页 [0/1]";"2022-04-30 17:00";"2022-05-02 12:00";"done";"100%";"iOS (dev)";""
"1.4.8";"    积分统计：发布的短视频";"2022-05-02 13:00";"2022-05-02 18:00";"done";"100%";"iOS (dev)";""
"1.4.9";"    我发布的视频视图列表(已有)";"2022-05-03 09:00";"2022-05-03 14:00";"done";"100%";"iOS (dev)";""
1.5;"  发布 [0/4]";"2022-05-03 14:00";"2022-05-03 14:00";"done";"100%";"";""
1.6;"  项目回顾";"2022-05-03 14:00";"2022-05-03 15:00";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
