"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"智能设备分享";"2022-02-16 09:00";"2022-02-25 10:30";"done";"100%";"";""
1.1;"  评审";"2022-02-16 09:00";"2022-02-16 19:00";"done";"100%";"";""
"1.1.1";"    组织会议";"2022-02-16 09:00";"2022-02-16 10:00";"done";"100%";"管理 (master)";""
"1.1.2";"    需求评审";"2022-02-16 10:00";"2022-02-16 13:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester), UI (ui)";""
"1.1.3";"    用例评审";"2022-02-16 13:00";"2022-02-16 16:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.1.4";"    设计评审";"2022-02-16 16:00";"2022-02-16 19:00";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
1.2;"  愿景宣言：心灵演练";"2022-02-17 09:00";"2022-02-17 11:00";"done";"100%";"";""
"1.2.1";"    心灵演练";"2022-02-17 09:00";"2022-02-17 10:00";"done";"100%";"iOS (dev)";""
"1.2.2";"    使命宣言";"2022-02-17 10:00";"2022-02-17 11:00";"done";"100%";"iOS (dev)";""
1.3;"  里程碑：要事第一";"2022-02-18 09:30";"2022-02-25 10:30";"in progress";"50%";"";""
"1.3.1";"    启动会议";"2022-02-18 09:30";"2022-02-18 10:30";"done";"100%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.3.2";"    开发结束";"2022-02-22 15:15";"2022-02-22 15:15";"done";"100%";"";""
"1.3.3";"    提测发布";"2022-02-25 09:30";"2022-02-25 09:30";"not reached";"0%";"";""
"1.3.4";"    项目回顾";"2022-02-25 10:30";"2022-02-25 10:30";"not reached";"0%";"";""
1.4;"  原生开发";"2022-02-18 10:30";"2022-02-22 15:15";"done";"100%";"";""
"1.4.1";"    开发设计";"2022-02-18 10:30";"2022-02-18 13:30";"done";"100%";"iOS (dev)";""
"1.4.2";"    技术调研";"2022-02-18 13:30";"2022-02-18 15:15";"done";"100%";"";""
"1.4.2.1";"      h5 url路径井号和汉字问题";"2022-02-18 13:30";"2022-02-18 13:45";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.2";"      swift解析get方式的url";"2022-02-18 13:45";"2022-02-18 14:00";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.3";"      截取UIView视图图片";"2022-02-18 14:00";"2022-02-18 14:15";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.4";"      微信分享本地联调";"2022-02-18 14:15";"2022-02-18 14:30";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.5";"      WKWebView 代理";"2022-02-18 14:30";"2022-02-18 14:45";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.6";"      加载自定义字体";"2022-02-18 14:45";"2022-02-18 15:00";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.2.7";"      扫一扫角标黑框问题";"2022-02-18 15:00";"2022-02-18 15:15";"done";"100%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
"1.4.3";"    扫一扫接受邀请 [4/4]";"2022-02-18 15:15";"2022-02-19 15:15";"done";"100%";"iOS (dev)";""
"1.4.4";"    微信分享预览页面 [4/4]";"2022-02-19 15:15";"2022-02-21 15:15";"done";"100%";"iOS (dev)";""
"1.4.5";"    设备管理API兼容 [4/4]";"2022-02-21 15:15";"2022-02-22 15:15";"done";"100%";"iOS (dev)";""
1.5;"  提测发布";"2022-02-22 15:15";"2022-02-25 09:30";"done";"100%";"";""
"1.5.1";"    提测测试";"2022-02-22 15:15";"2022-02-23 15:15";"done";"100%";"iOS (dev)";""
"1.5.2";"    发布";"2022-02-24 09:30";"2022-02-25 09:30";"done";"100%";"iOS (dev)";""
1.6;"  项目回顾";"2022-02-25 09:30";"2022-02-25 10:30";"not started";"0%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
