"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"转笔游戏";"2022-02-09 06:00";"2022-02-12 09:00";"done";"100%";"";""
1.4;"  难点调研";"2022-02-09 06:00";"2022-02-10 09:00";"done";"100%";"";""
"1.4.1";"    Slider 控件支持绑定State 属性";"2022-02-09 06:00";"2022-02-09 08:00";"done";"100%";"开发者 (dev)";""
"1.4.2";"    Image 图片自适应大小的方法和frame 属性的使用";"2022-02-09 08:00";"2022-02-09 13:00";"done";"100%";"开发者 (dev)";""
"1.4.3";"    bundle 加载main 和 module 中的资源方法";"2022-02-09 20:00";"2022-02-09 22:00";"done";"100%";"开发者 (dev)";""
"1.4.4";"    String 格式化小数点的方法";"2022-02-09 22:00";"2022-02-10 07:00";"done";"100%";"开发者 (dev)";""
"1.4.5";"    VStack 布局封装和间距和外边距的设置";"2022-02-10 07:00";"2022-02-10 09:00";"done";"100%";"开发者 (dev)";""
1.5;"  开发：要事第一";"2022-02-10 12:00";"2022-02-11 22:00";"done";"100%";"";""
"1.5.1";"    转笔页面";"2022-02-10 12:00";"2022-02-10 21:00";"done";"100%";"开发者 (dev)";""
"1.5.2";"    设置页面";"2022-02-10 21:00";"2022-02-10 23:00";"done";"100%";"开发者 (dev)";""
"1.5.3";"    转笔样式";"2022-02-11 06:00";"2022-02-11 08:00";"done";"100%";"开发者 (dev)";""
"1.5.4";"    封装自己的网络库";"2022-02-11 20:00";"2022-02-11 22:00";"done";"100%";"开发者 (dev)";""
1.3;"  开发设计";"2022-02-11 08:00";"2022-02-11 13:00";"done";"100%";"开发者 (dev)";""
1.6;"  回顾总结";"2022-02-11 22:00";"2022-02-12 07:00";"done";"100%";"开发者 (dev)";""
1.1;"  需求描述";"2022-02-12 07:00";"2022-02-12 08:00";"done";"100%";"开发者 (dev)";""
1.2;"  用例描述";"2022-02-12 08:00";"2022-02-12 09:00";"done";"100%";"开发者 (dev)";""
