"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"连锁集团";"2021-09-28 09:00";"2021-10-12 17:00";"done";"100%";"";""
1.1;"  立项";"2021-09-28 09:00";"2021-10-12 17:00";"done";"100%";"";""
"1.1.1";"    项目愿景";"2021-09-28 09:00";"2021-09-28 11:00";"done";"100%";"管理者 (manager)";""
"1.1.2";"    项目宣言";"2021-09-28 11:00";"2021-09-28 14:00";"done";"100%";"管理者 (manager)";""
"1.1.3";"    设里程碑";"2021-09-28 14:00";"2021-10-12 17:00";"done";"100%";"";""
"1.1.3.1";"      立flags";"2021-09-28 14:00";"2021-09-28 16:00";"done";"100%";"管理者 (manager)";""
"1.1.3.2";"      评审";"2021-09-29 12:00";"2021-09-29 12:00";"done";"100%";"";""
"1.1.3.3";"      UI 开发";"2021-10-11 17:00";"2021-10-11 17:00";"done";"100%";"";""
"1.1.3.4";"      提测发布";"2021-10-12 17:00";"2021-10-12 17:00";"done";"100%";"";""
1.2;"  评审";"2021-09-28 16:00";"2021-09-29 12:00";"done";"100%";"";""
"1.2.1";"    需求评审";"2021-09-28 16:00";"2021-09-28 17:00";"done";"100%";"管理者 (manager)";""
"1.2.2";"    开发设计";"2021-09-28 17:00";"2021-09-29 11:00";"done";"100%";"管理者 (manager)";""
"1.2.3";"    用例评审";"2021-09-29 11:00";"2021-09-29 12:00";"done";"100%";"管理者 (manager)";""
1.3;"  开发";"2021-09-29 13:00";"2021-10-11 17:00";"done";"100%";"";""
"1.3.1";"    添加我的组织入口 [3/3]";"2021-09-29 13:00";"2021-09-29 17:00";"done";"100%";"开发者 (dev)";""
"1.3.2";"    选择组织身份页 [2/2]";"2021-09-29 17:00";"2021-09-30 12:00";"done";"100%";"开发者 (dev)";""
"1.3.3";"    搜索页面 [6/6]";"2021-09-30 13:00";"2021-10-08 12:00";"done";"100%";"开发者 (dev)";""
"1.3.4";"    管理我的下级页面 [10/10]";"2021-10-08 13:00";"2021-10-09 12:00";"done";"100%";"开发者 (dev)";""
"1.3.5";"    管理我的上级页面 [6/6]";"2021-10-09 13:00";"2021-10-09 17:00";"done";"100%";"开发者 (dev)";""
"1.3.6";"    联调接口 [6/6]";"2021-10-09 17:00";"2021-10-11 17:00";"done";"100%";"开发者 (dev)";""
1.4;"  提测发布";"2021-10-11 17:00";"2021-10-12 17:00";"done";"100%";"管理者 (manager)";""
