"WBS";"名称";"开始日期";"结束日期";"状态";"进度";"资源";"备注"
1;"连锁集团swift版本";"2022-01-07 09:30";"2022-01-20 11:15";"not started";"0%";"";""
1.1;"  评审";"2022-01-07 09:30";"2022-01-08 12:30";"not started";"0%";"";""
"1.1.1";"    组织会议";"2022-01-07 09:30";"2022-01-07 10:30";"not started";"0%";"管理 (master)";""
"1.1.2";"    需求评审";"2022-01-07 10:30";"2022-01-07 11:30";"not started";"0%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester), UI (ui)";""
"1.1.3";"    用例评审";"2022-01-07 11:30";"2022-01-07 12:30";"not started";"0%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.1.4";"    技术预研";"2022-01-07 12:30";"2022-01-08 12:30";"not started";"0%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
1.2;"  愿景宣言：心灵演练";"2022-01-08 13:00";"2022-01-08 15:00";"not started";"0%";"";""
"1.2.1";"    心灵演练";"2022-01-08 13:00";"2022-01-08 14:00";"not started";"0%";"管理 (master)";""
"1.2.2";"    使命宣言";"2022-01-08 14:00";"2022-01-08 15:00";"not started";"0%";"管理 (master)";""
1.3;"  里程碑：要事第一";"2022-01-08 15:00";"2022-01-20 11:15";"not started";"0%";"";""
"1.3.1";"    启动会议";"2022-01-08 15:00";"2022-01-08 16:00";"not started";"0%";"管理 (master), h5 (h5), iOS (dev), android (dev1), 后台 (server), 测试 (tester)";""
"1.3.2";"    开发结束";"2022-01-14 11:00";"2022-01-14 11:00";"not reached";"0%";"";""
"1.3.3";"    提测发布";"2022-01-20 11:00";"2022-01-20 11:00";"not reached";"0%";"";""
"1.3.4";"    项目回顾";"2022-01-20 11:15";"2022-01-20 11:15";"not reached";"0%";"";""
1.4;"  原生开发";"2022-01-08 16:00";"2022-01-14 11:00";"not started";"0%";"";""
"1.4.1";"    开发计划";"2022-01-08 16:00";"2022-01-08 18:00";"not started";"0%";"iOS (dev)";""
"1.4.2";"    开发设计";"2022-01-08 18:00";"2022-01-10 11:00";"not started";"0%";"iOS (dev)";""
"1.4.3";"    原生开发";"2022-01-10 11:00";"2022-01-14 11:00";"not started";"0%";"";""
"1.4.3.1";"      选择组织身份页 [0/2]";"2022-01-10 11:00";"2022-01-10 16:00";"not started";"0%";"iOS (dev)";""
"1.4.3.2";"      搜索页面 [0/6]";"2022-01-10 16:00";"2022-01-11 16:00";"not started";"0%";"iOS (dev)";""
"1.4.3.3";"      管理我的下级页面 [0/10]";"2022-01-11 16:00";"2022-01-12 16:00";"not started";"0%";"iOS (dev)";""
"1.4.3.4";"      管理我的上级页面 [0/6]";"2022-01-12 16:00";"2022-01-13 11:00";"not started";"0%";"iOS (dev)";""
"1.4.3.5";"      联调接口 [0/6]";"2022-01-13 11:00";"2022-01-14 11:00";"not started";"0%";"iOS (dev)";""
1.5;"  提测发布";"2022-01-14 11:00";"2022-01-20 11:00";"not started";"0%";"";""
"1.5.1";"    提测测试";"2022-01-14 11:00";"2022-01-19 11:00";"not started";"0%";"iOS (dev)";""
"1.5.2";"    发布";"2022-01-19 11:00";"2022-01-20 11:00";"not started";"0%";"iOS (dev)";""
1.6;"  项目回顾";"2022-01-20 11:00";"2022-01-20 11:15";"not started";"0%";"h5 (h5), iOS (dev), android (dev1), 后台 (server)";""
